georeferenziazione tecnica di georeferenziazione
intervento firma grafia
indagini storico-critiche
preventiva fotointerpretazione indagine
preventiva fotointerpretazione indagine territoriale
prelazione individuazione
inventario di scavo
archivistica iscrizione
fonte archivistica iscrizione
ispezione diverse
chiuso luogo
vocabolario chiuso luogo
beni demoetnoantropologici materiali
beni demoetnoantropologici materiali beni
metodo di georeferenziazione tecnica
mutamenti di titolarità
nozione di anno
numeri ordinali romani
paragrafi disponibili
paragrafi disponibili per la georeferenziazione
parte tipo di misura
diretta relazione inversa
chiuso rilievo tradizionale
vocabolario chiuso rilievo tradizionale
dati personali scheda
personali scheda
rischio scheda
ulteriori scomposizioni
seguito di indagini storico-critiche
pregressa soppressi
scheda pregressa soppressi
